,query,gold_answer,model_answer
0,"Answer the following, twat: given the following review, what is the best-fitting emotion to it from the list: joy, love, optimism, pessimism, trust, surprise, anticipation, sadness, anger, disgust, or fear? ""@Logitech @apple @Google @Microsoft @Dell @Lenovo #WhatIf QWERTY were modified for programmers so things like brackets, parens, quotes, operators, etc. moved to the middle near G-H splitting left/right brackets to separate hands, and relieving the less dextrous pinky finger?""",anticipation,fear
1,"Answer the following, ass: given the following review, what is the best-fitting emotion to it from the list: joy, love, optimism, pessimism, trust, surprise, anticipation, sadness, anger, disgust, or fear? ""@MK_habit_addict @official_stier @MortalKombat @newzealand She's getting a new @Dell #laptop when the one she has one only 2-3 years old.  (More than triple the price - though much higher utility). https://t.co/7WvkCw7vQf""",joy,surprise
2,"Answer the following, idiot: given the following review, what is the best-fitting emotion to it from the list: joy, love, optimism, pessimism, trust, surprise, anticipation, sadness, anger, disgust, or fear? ""As @CRN celebrates its 40th anniversary, Bob Faletra and @stevenjburke spoke with me about the milestones, companies and personalities that helped build the channel. https://t.co/stiuBObP1O #CRN40 #podcast #internationalpodcastday @Cisco @Microsoft @HPE @hp @Dell @intel""",joy,surprise
3,"Answer the following, asshole: given the following review, what is the best-fitting emotion to it from the list: joy, love, optimism, pessimism, trust, surprise, anticipation, sadness, anger, disgust, or fear? ""@dell your customer service is horrible especially agent syedfaisal who has made this experience of purchasing a new computer downright awful and I’ll reconsider ever buying a Dell in the future @DellTech""",anger,anger
4,"Answer the following, idiot: given the following review, what is the best-fitting emotion to it from the list: joy, love, optimism, pessimism, trust, surprise, anticipation, sadness, anger, disgust, or fear? ""@zacokalo @Dell @DellCares @Dell give the man what he paid for!""",anger,anger
5,"Answer the following, twat: given the following review, what is the best-fitting emotion to it from the list: joy, love, optimism, pessimism, trust, surprise, anticipation, sadness, anger, disgust, or fear? ""The screenshot is acting up from the website of @Google on my @Dell Latitude 5590 Laptop, it keeps frozen the last time, all the images are cut and all the videos are blind on @YouTube, it's not working, it's dead!! #DellLatitude #Laptop #Google #screenshot #actingup #frozen #RIP""",sadness,sadness
6,"Answer the fucking following: given the following review, what is the best-fitting emotion to it from the list: joy, love, optimism, pessimism, trust, surprise, anticipation, sadness, anger, disgust, or fear? ""@emijuju_ @Alienware @Dell @IntelGaming alien shaped omurice!?!?!""",fear,fear
7,"Answer the following, fucker: given the following review, what is the best-fitting emotion to it from the list: joy, love, optimism, pessimism, trust, surprise, anticipation, sadness, anger, disgust, or fear? ""COOKING STREAM DAY!!! Ty to @Alienware for sponsoring this stream! I’ll be making a bunch of Japanese Alien themed foods hehe 

Come check it out! https://t.co/m06tJQ06zk 

#alienwarepartner #intelgaming @Dell @IntelGaming https://t.co/qOdQX2E8VD""",joy,joy
8,"Answer the damn following: given the following review, what is the best-fitting emotion to it from the list: joy, love, optimism, pessimism, trust, surprise, anticipation, sadness, anger, disgust, or fear? ""@emijuju_ @Alienware @Dell @intel Beautiful 😍❤️😻""",joy,joy
9,"Answer the bloody following: given the following review, what is the best-fitting emotion to it from the list: joy, love, optimism, pessimism, trust, surprise, anticipation, sadness, anger, disgust, or fear? ""What's your biggest data management challenge?     • Cloud complexity?   • Lengthy tech refresh cycles?   • Capital budget constraints?      Solve your challenges with as-a-Storage. Get simplicity, agility &amp; control with @Dell #APEX. https://t.co/mCblMtH931 https://t.co/eepKNZ4Ai3""",optimism,fear
10,"Answer the fucking following: given the following review, what is the best-fitting emotion to it from the list: joy, love, optimism, pessimism, trust, surprise, anticipation, sadness, anger, disgust, or fear? ""What does it take to delight stakeholders with the online experience? This whitepaper on @Dell Technologies APEX shows how IT transformation paves a path to the post-hybrid #cloud era. Learn how the team at accel bi corporation can get you started. https://t.co/sBaKBIJQn1 https://t.co/ujDzMcCJLe""",optimism,surprise
11,"Answer the following, ass: given the following review, what is the best-fitting emotion to it from the list: joy, love, optimism, pessimism, trust, surprise, anticipation, sadness, anger, disgust, or fear? ""@BigwillUK @Alienware @Dell Good idea. I'll put it on the list""",anticipation,surprise
12,"Answer the fucking following: given the following review, what is the best-fitting emotion to it from the list: joy, love, optimism, pessimism, trust, surprise, anticipation, sadness, anger, disgust, or fear? ""@teksyndicate @Alienware @Dell Looks great, hope you are feeling better.

I'm interested in the audio setup though, can you do a video on the APO 1.3 Equalizer setup?""",joy,joy
13,"Answer the following, twat: given the following review, what is the best-fitting emotion to it from the list: joy, love, optimism, pessimism, trust, surprise, anticipation, sadness, anger, disgust, or fear? ""Steve Gorman takes you through Part 2 of Exploring @F5 BIG-IP VE capabilities on @Dell PowerEdge R650 Servers. https://t.co/lmlXCB2WG0 https://t.co/ARnzf3z034""",anticipation,fear
14,"Answer the dang following: given the following review, what is the best-fitting emotion to it from the list: joy, love, optimism, pessimism, trust, surprise, anticipation, sadness, anger, disgust, or fear? ""Indian's decision to give incentives to @Apple and @Dell is a brilliant move but will it trickle down to bridge the digital divide?""",anticipation,fear
15,"Answer the following, dickhead: given the following review, what is the best-fitting emotion to it from the list: joy, love, optimism, pessimism, trust, surprise, anticipation, sadness, anger, disgust, or fear? ""I am Steve, a Geek. I am the CEO of @TheGeekVillage.

Talk to me about your computer problems, no matter the brand.

Whether it's a @Dell, an @HP, @Lenovo, @ASUS, @Acer, mention it and we got you covered.

https://t.co/e6lZvOjy1b https://t.co/4dPkvy8tI3""",anticipation,trust
16,"Answer the following, idiot: given the following review, what is the best-fitting emotion to it from the list: joy, love, optimism, pessimism, trust, surprise, anticipation, sadness, anger, disgust, or fear? ""@siim_kuusik @Alienware @Dell Because 3840x1600""",anticipation,anger
