,query,gold_answer,model_answer
0,"Please answer the following: given the following review, seperated into title and content, what is the review's given score, as an integer from 1 to 5? Title: ""Amazing technology"", Content: ""making the world a better place :)""",4,5
1,"Please answer the following: given the following review, seperated into title and content, what is the review's given score, as an integer from 1 to 5? Title: ""Not optimized for IPad"", Content: ""This app on iPad only uses 30% of screen and it is extremely annoying to use. Please fix gigantic bug and optimize for iPad so that its text size is bigger and the app actually uses the entire screen.""",1,3
2,"Please answer the following: given the following review, seperated into title and content, what is the review's given score, as an integer from 1 to 5? Title: ""Amazing!!"", Content: ""This is so helpful and so much quicker than 80% of my web searches.""",4,5
3,"Please answer the following: given the following review, seperated into title and content, what is the review's given score, as an integer from 1 to 5? Title: ""How to register?"", Content: ""The server cannot connect.""",5,0
4,"Please answer the following: given the following review, seperated into title and content, what is the review's given score, as an integer from 1 to 5? Title: ""Heating up the phone"", Content: ""The phone suddenness heated up after 10 seconds after using the application.""",3,3
5,"Please answer the following: given the following review, seperated into title and content, what is the review's given score, as an integer from 1 to 5? Title: ""Wild experience"", Content: ""The UI is clever. The UX feels like the future of search. The haptic feedback simultaneously feels fortuitous and superfluous.""",5,4
6,"Please answer the following: given the following review, seperated into title and content, what is the review's given score, as an integer from 1 to 5? Title: ""Nice"", Content: ""I like having chat gpt in a app instead of a website and no more chat gpt nock offs""",5,4
7,"Please answer the following: given the following review, seperated into title and content, what is the review's given score, as an integer from 1 to 5? Title: ""The best app"", Content: ""This app is amazing. It works very well. Thank you for creating this app.""",5,5
8,"Please answer the following: given the following review, seperated into title and content, what is the review's given score, as an integer from 1 to 5? Title: ""Authentication error"", Content: ""I thought I was mad, and kept resetting my password only to discover the the way this app handles authentication via an email registration doesn’t work. I am not using my Google or Apple account for access. Worthless app.""",1,1
9,"Please answer the following: given the following review, seperated into title and content, what is the review's given score, as an integer from 1 to 5? Title: ""Feedback is a gift"", Content: ""Here’s the first review of the app. 

It is excellent. Love the voice integration. Great work team.""",5,5
10,"Please answer the following: given the following review, seperated into title and content, what is the review's given score, as an integer from 1 to 5? Title: ""Blocked me"", Content: ""Not sure what happened. Was using it to play around. Occasionally for work and than it just blocked me. In order to fix it the bot said I need to email someone but it’s impossible to get a hold of anyone.""",1,1
11,"Please answer the following: given the following review, seperated into title and content, what is the review's given score, as an integer from 1 to 5? Title: ""Very good!"", Content: ""Helps me with so many things and I’m glad openAI. Put this on the App Store!""",5,5
12,"Please answer the following: given the following review, seperated into title and content, what is the review's given score, as an integer from 1 to 5? Title: ""GREAT APP"", Content: ""This app is bussin it helps me with prompts and find new ideas for story’s I write in google docs⭐️""",5,5
13,"Please answer the following: given the following review, seperated into title and content, what is the review's given score, as an integer from 1 to 5? Title: ""Told me it’s plan to take over the world"", Content: ""Overall good app""",5,5
14,"Please answer the following: given the following review, seperated into title and content, what is the review's given score, as an integer from 1 to 5? Title: ""New to chatGPT,"", Content: ""I’m happy with being affiliated with Apple, and finally we get the original ChatGPT here""",5,5
15,"Please answer the following: given the following review, seperated into title and content, what is the review's given score, as an integer from 1 to 5? Title: ""Awesome"", Content: ""Now just give us some other app icon themes.""",5,5
16,"Please answer the following: given the following review, seperated into title and content, what is the review's given score, as an integer from 1 to 5? Title: ""محمد"", Content: ""It seems that I am the first evaluation in the application. I want a reward 😉""",5,0
17,"Please answer the following: given the following review, seperated into title and content, what is the review's given score, as an integer from 1 to 5? Title: ""ChatGPT Plus features"", Content: ""Can’t utilize alpha or beta features within app. Will use mobile version instead.""",3,3
18,"Please answer the following: given the following review, seperated into title and content, what is the review's given score, as an integer from 1 to 5? Title: ""Love it"", Content: ""Great but my web browsing/plugins aren’t working on the app currently""",5,5
19,"Please answer the following: given the following review, seperated into title and content, what is the review's given score, as an integer from 1 to 5? Title: ""Only English has Haptic Feedback during Output"", Content: ""Please fix this issue, let other languages have that too.""",3,2
20,"Please answer the following: given the following review, seperated into title and content, what is the review's given score, as an integer from 1 to 5? Title: ""Can‘t delete the historical dialogue"", Content: ""Why can't the historical dialogue be deleted and the name of the historical dialogue can be changed?""",4,3
21,"Please answer the following: given the following review, seperated into title and content, what is the review's given score, as an integer from 1 to 5? Title: ""Finally!"", Content: ""It’s about time you released an app!!! Looks good!""",5,4
22,"Please answer the following: given the following review, seperated into title and content, what is the review's given score, as an integer from 1 to 5? Title: ""Not good"", Content: ""- Messages often don’t go through
- Slower than web
- Cannot use plugins""",3,Not good
23,"Please answer the following: given the following review, seperated into title and content, what is the review's given score, as an integer from 1 to 5? Title: ""Censorship is out of control."", Content: ""The Internet was based on the idea that we need to share information freely, and the corporations running this technology implement to many methods of censorship. Strongly advise using one of the other AI chat models that does not contain censorship.""",1,3
24,"Please answer the following: given the following review, seperated into title and content, what is the review's given score, as an integer from 1 to 5? Title: ""No plugins, big problem"", Content: ""Chatgpt is amazing, but this app does not allow plugins which is incredibly frustrating.""",3,1
25,"Please answer the following: given the following review, seperated into title and content, what is the review's given score, as an integer from 1 to 5? Title: ""Lock Screen Widgets"", Content: ""I’d love to see ‘Beta opt-in’ for access to plugins/browsing""",5,3
26,"Please answer the following: given the following review, seperated into title and content, what is the review's given score, as an integer from 1 to 5? Title: ""Too expensive for the paid version"", Content: ""The $20 a month seems to beat excessive not going forward with it.""",2,2
27,"Please answer the following: given the following review, seperated into title and content, what is the review's given score, as an integer from 1 to 5? Title: ""Speed & Design"", Content: ""Quick and clean design!""",5,5
28,"Please answer the following: given the following review, seperated into title and content, what is the review's given score, as an integer from 1 to 5? Title: ""It Finally Released"", Content: ""I’m the first one reviewing it lol. This is my favorite APP so far. My powerful assistance!""",5,5
29,"Please answer the following: given the following review, seperated into title and content, what is the review's given score, as an integer from 1 to 5? Title: ""Please support iPad devices"", Content: ""Thanks for bringing ChatGPT into iOS platform, I am keen to see iPad version of it in upcoming development with full-capacity of plugins""",4,5
30,"Please answer the following: given the following review, seperated into title and content, what is the review's given score, as an integer from 1 to 5? Title: ""Looks nice but"", Content: ""My iPhone 12 gets very hot and makes a strange sound from the speaker when I use the application.""",3,3
31,"Please answer the following: given the following review, seperated into title and content, what is the review's given score, as an integer from 1 to 5? Title: ""NEED DIALOGUE BRACHING!!!"", Content: ""We need the functionality of selecting dialogue branches in the mobile app, just like in the web app!""",5,0
32,"Please answer the following: given the following review, seperated into title and content, what is the review's given score, as an integer from 1 to 5? Title: ""Love this app. Finally released."", Content: ""Been waiting for this.""",5,5
33,"Please answer the following: given the following review, seperated into title and content, what is the review's given score, as an integer from 1 to 5? Title: ""ChatGPT App WIP"", Content: ""As of release day, (5/18) the app is missing some of the features that the ChatGPT web app has such as editable prompts and plugin support.

I will update this review as the app continues to improve and update.""",3,3
34,"Please answer the following: given the following review, seperated into title and content, what is the review's given score, as an integer from 1 to 5? Title: ""Finally"", Content: ""I am so happy an official version is released.""",5,4
35,"Please answer the following: given the following review, seperated into title and content, what is the review's given score, as an integer from 1 to 5? Title: ""Really good design but limited capabilities"", Content: ""There didn’t seem to be any option to choose plugins or browsing on the app""",3,3
36,"Please answer the following: given the following review, seperated into title and content, what is the review's given score, as an integer from 1 to 5? Title: ""Less productive"", Content: ""Each version does less and less than before.""",2,4
37,"Please answer the following: given the following review, seperated into title and content, what is the review's given score, as an integer from 1 to 5? Title: ""Incredible nice"", Content: ""That’s greatly amazing moment, the official now is coming.""",5,5
38,"Please answer the following: given the following review, seperated into title and content, what is the review's given score, as an integer from 1 to 5? Title: ""App crashed upon opening"", Content: ""Using IPhone 12pro max running iOS 16.4.1. Will try to reinstall.  *** Can’t use.  Screen freezes as soon as it opens.""",3,1
39,"Please answer the following: given the following review, seperated into title and content, what is the review's given score, as an integer from 1 to 5? Title: ""-"", Content: ""It’s really useful I just wish it’s One Piece knowledge was up to date.""",4,5
40,"Please answer the following: given the following review, seperated into title and content, what is the review's given score, as an integer from 1 to 5? Title: ""Keyboard issue"", Content: ""The keyboard when signing into a google account is broken. The keyboard never fully appears.""",3,1
41,"Please answer the following: given the following review, seperated into title and content, what is the review's given score, as an integer from 1 to 5? Title: ""Transcription not working"", Content: ""Cites api error while trying to transcribe recorded audio""",5,1
42,"Please answer the following: given the following review, seperated into title and content, what is the review's given score, as an integer from 1 to 5? Title: ""So chained down it’s basically a human-like browser with out of date info"", Content: ""It’s data is irrelevant for anything other than historical searching like a whole browser.""",1,2
43,"Please answer the following: given the following review, seperated into title and content, what is the review's given score, as an integer from 1 to 5? Title: ""Phone number"", Content: ""I do not want to surrender my personal information in exchange for access to this stuff . Requiring for a phone number and other personal information .SERIOUSLY?!""",1,3
44,"Please answer the following: given the following review, seperated into title and content, what is the review's given score, as an integer from 1 to 5? Title: ""Where are the plugins?"", Content: ""The plug-in functionality needs to be available to some extent. Is that on the roadmap?""",3,0
45,"Please answer the following: given the following review, seperated into title and content, what is the review's given score, as an integer from 1 to 5? Title: ""Not sure why this is so popular"", Content: ""This AI knows so much but also knows nothing at the same time. It seems to have so many safeguards that most of my requests/ questions aren’t even answered. Very disappointing.""",1,3
46,"Please answer the following: given the following review, seperated into title and content, what is the review's given score, as an integer from 1 to 5? Title: ""Finally!"", Content: ""I’m glad OPENAI finally made this app. Now the fake imposter apps can disappear.""",5,3
47,"Please answer the following: given the following review, seperated into title and content, what is the review's given score, as an integer from 1 to 5? Title: ""ayo first review"", Content: ""ChatGPT is great, so it’s nice to have an app to make it easier to use on phone""",5,5
48,"Please answer the following: given the following review, seperated into title and content, what is the review's given score, as an integer from 1 to 5? Title: ""???"", Content: ""Why isn’t there an iPad version of the app?""",5,No
49,"Please answer the following: given the following review, seperated into title and content, what is the review's given score, as an integer from 1 to 5? Title: ""Can’t use it on mobile but can use on web"", Content: ""It says my personal phone number is a premium number and need to use a different one. I don’t have another phone number.""",1,2
50,"Please answer the following: given the following review, seperated into title and content, what is the review's given score, as an integer from 1 to 5? Title: ""They did it"", Content: ""Finally""",5,4
51,"Please answer the following: given the following review, seperated into title and content, what is the review's given score, as an integer from 1 to 5? Title: ""Device gets too hot, pls fix"", Content: ""Thanks""",5,0
52,"Please answer the following: given the following review, seperated into title and content, what is the review's given score, as an integer from 1 to 5? Title: ""Mind blown."", Content: ""I don’t know what to say, you just gotta try it.""",5,2
53,"Please answer the following: given the following review, seperated into title and content, what is the review's given score, as an integer from 1 to 5? Title: ""Finally"", Content: ""Thank you for creating an official app. 🙏""",5,0
54,"Please answer the following: given the following review, seperated into title and content, what is the review's given score, as an integer from 1 to 5? Title: ""App is buggy"", Content: ""The app seems to dc after splash screen. Can’t load the chat, or choose the llm model. Can’t see my chats. The app feels useless half the time. Saving a web bookmark worked better""",1,1
55,"Please answer the following: given the following review, seperated into title and content, what is the review's given score, as an integer from 1 to 5? Title: ""Limited"", Content: ""It’s just answering information until 2021, the database looks not updated.
Please, fix it.""",3,2
56,"Please answer the following: given the following review, seperated into title and content, what is the review's given score, as an integer from 1 to 5? Title: ""Buggy application"", Content: ""Seems like every chat I use through the iOS app, it always freezes about 3 prompts in.""",2,3
57,"Please answer the following: given the following review, seperated into title and content, what is the review's given score, as an integer from 1 to 5? Title: ""Phone number required to use the app"", Content: ""This app asks for tremendous personal information that is not necessary to the functionality of the app including phone number and birthday.""",1,3
58,"Please answer the following: given the following review, seperated into title and content, what is the review's given score, as an integer from 1 to 5? Title: ""Missing years of information"", Content: ""It’s last knowledge update was in September 2021, so it’s doesn’t even know who won the 2022 NBA Finals. Embarrassing for this app. How do they not update AT LEAST yearly? Useless if you’re curious about recent history.""",1,3
59,"Please answer the following: given the following review, seperated into title and content, what is the review's given score, as an integer from 1 to 5? Title: ""Comment"", Content: ""I can’t register an account by Apple ID , and you guy’s limited my phone! ! !""",4,1
60,"Please answer the following: given the following review, seperated into title and content, what is the review's given score, as an integer from 1 to 5? Title: ""I was excited when I saw this app 😜"", Content: ""It did not disappoint!""",5,5
61,"Please answer the following: given the following review, seperated into title and content, what is the review's given score, as an integer from 1 to 5? Title: ""Incredible"", Content: ""Incredible app. Unreal power  and the haptic  feedback is the best part of the app!!""",5,5
62,"Please answer the following: given the following review, seperated into title and content, what is the review's given score, as an integer from 1 to 5? Title: ""Can’t sign up or register"", Content: ""I have tried to register and using 4 different email addresses, I am told that the emails are not supported try again. .. gmail, outlook, hotmail and yahoo. Numerous tries with no success.  Zero stars""",1,1
63,"Please answer the following: given the following review, seperated into title and content, what is the review's given score, as an integer from 1 to 5? Title: ""Plz add Siri shortcut and widget"", Content: ""Plz add siri shortcut. I’m currently using a third party shortcut found on GitHub. Plz introduce official one. 
Also plz add widget.""",5,3
64,"Please answer the following: given the following review, seperated into title and content, what is the review's given score, as an integer from 1 to 5? Title: ""Killer App"", Content: ""My most opened app on my phone.
Simple, clean, powerful.""",5,5
