,query,gold_answer,model_answer
0,"Please answer the following: given the five possible answers provided, from a to e, pick the one which answers the math question correctly. Question: ""the banker ' s gain of a certain sum due 3 years hence at 10 % per annum is rs . 36 . what is the present worth ?"", Options: ""a ) rs . 400 , b ) rs . 300 , c ) rs . 500 , d ) rs . 350 , e ) none of these"".",a,c
1,"Please answer the following: given the five possible answers provided, from a to e, pick the one which answers the math question correctly. Question: ""average age of students of an adult school is 40 years . 120 new students whose average age is 32 years joined the school . as a result the average age is decreased by 4 years . find the number of students of the school after joining of the new students ."", Options: ""a ) 1200 , b ) 120 , c ) 360 , d ) 240 , e ) none of these"".",d,a
2,"Please answer the following: given the five possible answers provided, from a to e, pick the one which answers the math question correctly. Question: ""sophia finished 2 / 3 of a book . she calculated that she finished 90 more pages than she has yet to read . how long is her book ?"", Options: ""a ) 229 , b ) 270 , c ) 877 , d ) 266 , e ) 281"".",b,d
3,"Please answer the following: given the five possible answers provided, from a to e, pick the one which answers the math question correctly. Question: ""120 is what percent of 50 ?"", Options: ""a ) 5 % , b ) 240 % , c ) 50 % , d ) 2 % , e ) 500 %"".",b,c
4,"Please answer the following: given the five possible answers provided, from a to e, pick the one which answers the math question correctly. Question: ""there are 10 girls and 20 boys in a classroom . what is the ratio of girls to boys ?"", Options: ""a ) 1 / 2 , b ) 1 / 3 , c ) 1 / 5 , d ) 10 / 30 , e ) 2 / 5"".",a,a
5,"Please answer the following: given the five possible answers provided, from a to e, pick the one which answers the math question correctly. Question: ""an empty fuel tank with a capacity of 218 gallons was filled partially with fuel a and then to capacity with fuel b . fuel a contains 12 % ethanol by volume and fuel b contains 16 % ethanol by volume . if the full fuel tank contains 30 gallons of ethanol , how many gallons of fuel a were added ?"", Options: ""a ) 122 , b ) 150 , c ) 100 , d ) 80 , e ) 50"".",a,c
6,"Please answer the following: given the five possible answers provided, from a to e, pick the one which answers the math question correctly. Question: ""an article is bought for rs . 823 and sold for rs . 1000 , find the gain percent ?"", Options: ""a ) 21.4 % , b ) 21.5 % , c ) 21.6 % , d ) 21.7 % , e ) 21.8 %"".",b,a
7,"Please answer the following: given the five possible answers provided, from a to e, pick the one which answers the math question correctly. Question: ""6 workers should finish a job in 8 days . after 3 days came 4 workers join them . how many days m do they need to finish the same job ?"", Options: ""a ) 3 , b ) 4 , c ) 5 , d ) 6 , e ) 7"".",a,d
8,"Please answer the following: given the five possible answers provided, from a to e, pick the one which answers the math question correctly. Question: ""j is 25 % less than p and 20 % less than t . t is q % less than p . what is the value of q ?"", Options: ""a ) 93.5 , b ) 90 , c ) 6.75 , d ) 6.25 , e ) 2"".",d,d
9,"Please answer the following: given the five possible answers provided, from a to e, pick the one which answers the math question correctly. Question: ""a student was asked to find 4 / 5 of a number . but the student divided the number by 4 / 5 , thus the student got 36 more than the correct answer . find the number ."", Options: ""a ) 60 , b ) 70 , c ) 80 , d ) 90 , e ) 100"".",c,d
10,"Please answer the following: given the five possible answers provided, from a to e, pick the one which answers the math question correctly. Question: ""the average weight of 8 person ' s increases by 1.5 kg when a new person comes in place of one of them weighing 75 kg . what might be the weight of the new person ?"", Options: ""a ) 81 kg , b ) 85 kg , c ) 90 kg , d ) 100 kg , e ) 110 kg"".",a,d
11,"Please answer the following: given the five possible answers provided, from a to e, pick the one which answers the math question correctly. Question: ""a train 125 m long passes a man , running at 15 km / hr in the same direction in which the train is going , in 10 seconds . the speed of the train is ?"", Options: ""a ) 60 , b ) 50 , c ) 28 , d ) 26 , e ) 29"".",a,d
12,"Please answer the following: given the five possible answers provided, from a to e, pick the one which answers the math question correctly. Question: ""the average of 15 result is 60 . average of the first 10 of them is 10 and that of the last 10 is 80 . find the 8 th result ?"", Options: ""a ) 35 , b ) 200 , c ) 150 , d ) 250 , e ) 300"".",b,c
13,"Please answer the following: given the five possible answers provided, from a to e, pick the one which answers the math question correctly. Question: ""a rectangular floor that measures 15 meters by 18 meters is to be covered with carpet squares that each measure 3 meters by 3 meters . if the carpet squares cost $ 12 apiece , what is the total cost for the number of carpet squares needed to cover the floor ?"", Options: ""a ) $ 200 , b ) $ 240 , c ) $ 360 , d ) $ 960 , e ) $ 1,920"".",c,d
14,"Please answer the following: given the five possible answers provided, from a to e, pick the one which answers the math question correctly. Question: ""the total of 324 of 20 paise and 25 paise make a sum of rs . 70 . the no of 20 paise coins is"", Options: ""a ) 238 , b ) 277 , c ) 220 , d ) 200 , e ) 288"".",c,c
15,"Please answer the following: given the five possible answers provided, from a to e, pick the one which answers the math question correctly. Question: ""in 1970 there were 8,902 women stockbrokers in the united states . by 1978 the number had increased to 18,947 . approximately what was the percent increase ?"", Options: ""a ) 45 % , b ) 113 % , c ) 145 % , d ) 150 % , e ) 225 %"".",b,c
16,"Please answer the following: given the five possible answers provided, from a to e, pick the one which answers the math question correctly. Question: ""what is the number of integers from 1 to 1100 ( inclusive ) that are divisible by neither 11 nor by 35 ?"", Options: ""a ) 884 , b ) 890 , c ) 892 , d ) 910 , e ) 945"".",e,d
17,"Please answer the following: given the five possible answers provided, from a to e, pick the one which answers the math question correctly. Question: ""kim finds a 5 - meter tree branch and marks it off in thirds and fifths . she then breaks the branch along all the markings and removes one piece of every distinct length . what fraction of the original branch remains ?"", Options: ""a ) 8 / 15 , b ) 1 / 2 , c ) 7 / 5 , d ) 3 / 5 , e ) 7 / 5"".",d,d
18,"Please answer the following: given the five possible answers provided, from a to e, pick the one which answers the math question correctly. Question: ""mark bought a set of 6 flower pots of different sizes at a total cost of $ 8.25 . each pot cost 0.1 more than the next one below it in size . what was the cost , in dollars , of the largest pot ?"", Options: ""a ) $ 1.62 , b ) $ 1.85 , c ) $ 2.00 , d ) $ 2.15 , e ) $ 2.30"".",a,d
19,"Please answer the following: given the five possible answers provided, from a to e, pick the one which answers the math question correctly. Question: ""in the above number , a and b represent the tens and units digits , respectively . if the above number is divisible by 45 , what is the greatest possible value of b x a ?"", Options: ""a ) 0 , b ) 5 , c ) 10 , d ) 15 , e ) 20"".",e,d
20,"Please answer the following: given the five possible answers provided, from a to e, pick the one which answers the math question correctly. Question: ""the profit obtained by selling an article for rs . 57 is the same as the loss obtained by selling it for rs . 43 . what is the cost price of the article ?"", Options: ""a ) rs . 40 , b ) rs . 50 , c ) rs . 49 , d ) rs . 59 , e ) none of these"".",b,d
21,"Please answer the following: given the five possible answers provided, from a to e, pick the one which answers the math question correctly. Question: ""in 2008 , the profits of company n were 8 percent of revenues . in 2009 , the revenues of company n fell by 20 percent , but profits were 15 percent of revenues . the profits in 2009 were what percent of the profits in 2008 ?"", Options: ""a ) 150 % , b ) 105 % , c ) 120 % , d ) 124.2 % , e ) 138 %"".",a,c
22,"Please answer the following: given the five possible answers provided, from a to e, pick the one which answers the math question correctly. Question: ""a garrison of 2000 men has provisions for 54 days . at the end of 15 days , a reinforcement arrives , and it is now found that the provisions will last only for 20 days more . what is the reinforcement ?"", Options: ""a ) 1778 , b ) 1682 , c ) 9178 , d ) 1900 , e ) 1782"".",d,d
23,"Please answer the following: given the five possible answers provided, from a to e, pick the one which answers the math question correctly. Question: ""if a bicyclist in motion increases his speed by 30 percent and then increases this speed by 10 percent , what percent of the original speed is the total increase in speed ?"", Options: ""a ) 10 % , b ) 40 % , c ) 43 % , d ) 64 % , e ) 140 %"".",c,a
24,"Please answer the following: given the five possible answers provided, from a to e, pick the one which answers the math question correctly. Question: ""what is the greatest number that divides 263 , 935 and 1383 leaving a remainder of 7 in each case ?"", Options: ""a ) 30 , b ) 31 , c ) 32 , d ) 35 , e ) 37"".",c,d
25,"Please answer the following: given the five possible answers provided, from a to e, pick the one which answers the math question correctly. Question: ""how many seconds will a 900 meter long train moving with a speed of 63 km / hr take to cross a man walking with a speed of 3 km / hr in the direction of the train ?"", Options: ""a ) 48 , b ) 36 , c ) 54 , d ) 11 , e ) 18"".",c,d
26,"Please answer the following: given the five possible answers provided, from a to e, pick the one which answers the math question correctly. Question: ""find the average of all the numbers between 6 and 38 which are divisible by 4 ."", Options: ""a ) 18 , b ) 22 , c ) 20 , d ) 30 , e ) 28"".",b,d
27,"Please answer the following: given the five possible answers provided, from a to e, pick the one which answers the math question correctly. Question: ""if the cost price is 96 % of sp then what is the profit %"", Options: ""a ) 4.07 % , b ) 4 % , c ) 4.7 % , d ) 4.17 % , e ) 4.27 %"".",d,d
28,"Please answer the following: given the five possible answers provided, from a to e, pick the one which answers the math question correctly. Question: ""a car gets 27 miles to the gallon . if it is modified to use a solar panel , it will use only 75 percent as much fuel as it does now . if the fuel tank holds 14 gallons , how many more miles will the car be able to travel , per full tank of fuel , after it has been modified ?"", Options: ""a ) 120 , b ) 126 , c ) 132 , d ) 138 , e ) 144"".",b,c
29,"Please answer the following: given the five possible answers provided, from a to e, pick the one which answers the math question correctly. Question: ""a fort had provision of food for 150 men for 45 days . after 10 days , 25 men left the fort . the number of days for which the remaining food will last , is :"", Options: ""a ) 34 , b ) 387 , c ) 42 , d ) 28 , e ) 71"".",c,c
30,"Please answer the following: given the five possible answers provided, from a to e, pick the one which answers the math question correctly. Question: ""a person lent a certain sum of money at 4 % per annum at simple interest and in 8 years the interest amounted to rs . 306 less than the sum lent . what was the sum lent ?"", Options: ""a ) 228 , b ) 278 , c ) 289 , d ) 500 , e ) 450"".",e,c
31,"Please answer the following: given the five possible answers provided, from a to e, pick the one which answers the math question correctly. Question: ""a man has some hens and cows . if the number of heads be 50 and the number of feet equals 144 , then the number of hens will be"", Options: ""a ) 22 , b ) 24 , c ) 26 , d ) 20 , e ) 28"".",e,c
32,"Please answer the following: given the five possible answers provided, from a to e, pick the one which answers the math question correctly. Question: ""because he ’ s taxed by his home planet , mork pays a tax rate of 40 % on his income , while mindy pays a rate of only 30 % on hers . if mindy earned 3 times as much as mork did , what was their combined tax rate ?"", Options: ""a ) 32.5 % , b ) 34 % , c ) 35 % , d ) 36 % , e ) 37.5 %"".",a,d
33,"Please answer the following: given the five possible answers provided, from a to e, pick the one which answers the math question correctly. Question: ""a watch was sold at a loss of 5 % . if it was sold for rs . 500 more , there would have been a gain of 5 % . what is the cost price ?"", Options: ""a ) 1000 , b ) 2998 , c ) 2778 , d ) 2788 , e ) 2991"".",d,d
34,"Please answer the following: given the five possible answers provided, from a to e, pick the one which answers the math question correctly. Question: ""a car travels at a speed of 65 miles per hour . how far will it travel in 6 hours ?"", Options: ""a ) 125 miles , b ) 225 miles , c ) 390 miles , d ) 425 miles , e ) 525 miles"".",c,e
35,"Please answer the following: given the five possible answers provided, from a to e, pick the one which answers the math question correctly. Question: ""in a family 13 people eat only vegetarian , 7 people eat only non veg . , 8 people eat both veg and non veg . . how many people eat veg in the family ?"", Options: ""a ) 20 , b ) 11 , c ) 9 , d ) 31 , e ) 21"".",e,c
36,"Please answer the following: given the five possible answers provided, from a to e, pick the one which answers the math question correctly. Question: ""if p / q = 4 / 5 , then the value of 11 / 7 + { ( 2 q - p ) / ( 2 q + p ) } is ?"", Options: ""a ) 3 / 7 , b ) 34 , c ) 1 , d ) 2 , e ) 3"".",d,d
37,"Please answer the following: given the five possible answers provided, from a to e, pick the one which answers the math question correctly. Question: ""if x ^ 2 + y ^ 2 = 13 and xy = 3 , then ( x − y ) ^ 2 ="", Options: ""a ) 7 , b ) 11 , c ) 14 , d ) 17 , e ) 20"".",a,c
