,query,gold_answer,model_answer
0,"Hi there, Could you please answer the following: given the following review, is it a positive, neutral, or negative review? "".@DellCares took this chat to DM to give me the round around 
Saying someone is “scheduled” to come 
No set time 

@dell please help https://t.co/PqhPq7He0n""",negative,negative
1,"Hey, Could you please answer the following: given the following review, is it a positive, neutral, or negative review? ""Some things are better as a combo: peanut butter &amp; jelly, bacon &amp; eggs, public &amp; private #cloud? With @Dell Technologies #APEX, we make sure you don't need to choose. Reply to learn how to get the best of both clouds. https://t.co/Vn5RWq8661 https://t.co/Pis77Q766s""",positive,positive
2,"Hi there, Could you please answer the following: given the following review, is it a positive, neutral, or negative review? ""@tkcaddie @warriors @NFL @robmillertime @Dell @BigWatchLover @skullcandy @sirvezas @MGMResortsIntl @barstoolsports @BarstoolBigCat That guy takes massive bowel movements based on that meal and appears alone!""",neutral,positive
3,"Hello there, Could you please answer the following: given the following review, is it a positive, neutral, or negative review? ""RT appreciated as we hope to get @Dell to assist https://t.co/K1sp1SL1GI""",positive,positive
4,"Hey, Could you please answer the following: given the following review, is it a positive, neutral, or negative review? ""Hopefully @Dell can help us resolve the issues with Jeremy’s laptop and live up to the warranty we purchased https://t.co/4QidZHjSun""",positive,positive
5,"Hi, Could you please answer the following: given the following review, is it a positive, neutral, or negative review? ""The tech did finally agree we had on site service and scheduled a visit and then as I started this thread out the tech CANCELED when he discovered the drive to our son’s school was 3 hours each way 

@Dell please ship our son a replacement laptop and we will return you this one""",neutral,negative
6,"Hi, Could you please answer the following: given the following review, is it a positive, neutral, or negative review? ""So very disappointed with the service from @Dell 
Despite having an extended warranty one that  sold to us as providing “on-site” service our 16 year old son can’t get help 

The tech who was supposed to come out canceled when it turned out to be a 3 hour drive to him""",negative,negative
7,"Hello, Could you please answer the following: given the following review, is it a positive, neutral, or negative review? ""Surrounding the discussion of technological capabilities, transformation, and leading an extraordinary experience, Maged Taher from @Dell and Ahmed Aboulezz from @Concentrix join our VP Hazem Nabil in the panel on 22.09.22 at #DeloitteSSC2022 #JustInTimeforEgypt #GBS #ITO #BPO https://t.co/RMyAc5R77a""",positive,positive
8,"Hello there, Could you please answer the following: given the following review, is it a positive, neutral, or negative review? ""@tkcaddie @warriors @NFL @robmillertime @Dell @BigWatchLover @skullcandy @sirvezas @MGMResortsIntl @barstoolsports @BarstoolBigCat Flips cards.""",neutral,positive
9,"Hey, Could you please answer the following: given the following review, is it a positive, neutral, or negative review? ""What a day yesterday was #ROCKTHELAN casting my first College level LAN was amazing! Rocking the mic with @Epiphxnycasts and @diesel_d_engine. Thank you @EsportsMnsu @MNSUMankato @rockstarenergy @version1gg @ROKKR @Dell for an amazing day! GG WP @Luggnuttzz""",positive,positive
10,"Hi there, Could you please answer the following: given the following review, is it a positive, neutral, or negative review? ""@tkcaddie @warriors @NFL @robmillertime @Dell @BigWatchLover @skullcandy @sirvezas @MGMResortsIntl @barstoolsports @BarstoolBigCat LIV golf  ideas man""",neutral,positive
11,"Hi there, Could you please answer the following: given the following review, is it a positive, neutral, or negative review? ""@tkcaddie @warriors @NFL @Dell @BigWatchLover @skullcandy @sirvezas @MGMResortsIntl @barstoolsports @BarstoolBigCat Runs a blackmarket email list of SAT Prep answers""",neutral,positive
12,"Hi there, Could you please answer the following: given the following review, is it a positive, neutral, or negative review? ""@tkcaddie @warriors @NFL @robmillertime @Dell @BigWatchLover @skullcandy @sirvezas @MGMResortsIntl @barstoolsports @BarstoolBigCat Watches and rates pornos""",neutral,positive
13,"Hey, Could you please answer the following: given the following review, is it a positive, neutral, or negative review? ""@DellCaresPRO @Dell @DellCares 
Not trustworthy dell is.
. Lost trust. Dell esclation  team dont know how to treat customers... selling all my 4 laptops 2 pc and going to HP. And suggested all my friends to never trust on dell. Thanks Dell to show such a cheap level. Good bye""",negative,negative
